binary_field,intermediate_path,table_path
BfltFrstempU1,signal.parsed.v1.raw.BfltFrstempU1,hvac.fact_raw.payload_json.raw.BfltFrstempU1
BfltRnttempU1,signal.parsed.v1.raw.BfltRnttempU1,hvac.fact_raw.payload_json.raw.BfltRnttempU1
BfltSplytempU11,signal.parsed.v1.raw.BfltSplytempU11,hvac.fact_raw.payload_json.raw.BfltSplytempU11
BfltSplytempU12,signal.parsed.v1.raw.BfltSplytempU12,hvac.fact_raw.payload_json.raw.BfltSplytempU12
BfltCoiltempU11,signal.parsed.v1.raw.BfltCoiltempU11,hvac.fact_raw.payload_json.raw.BfltCoiltempU11
BfltCoiltempU12,signal.parsed.v1.raw.BfltCoiltempU12,hvac.fact_raw.payload_json.raw.BfltCoiltempU12
BfltInsptempU11,signal.parsed.v1.raw.BfltInsptempU11,hvac.fact_raw.payload_json.raw.BfltInsptempU11
BfltInsptempU12,signal.parsed.v1.raw.BfltInsptempU12,hvac.fact_raw.payload_json.raw.BfltInsptempU12
BfltLowpresU11,signal.parsed.v1.raw.BfltLowpresU11,hvac.fact_raw.payload_json.raw.BfltLowpresU11
BfltLowpresU12,signal.parsed.v1.raw.BfltLowpresU12,hvac.fact_raw.payload_json.raw.BfltLowpresU12
BfltHighpresU11,signal.parsed.v1.raw.BfltHighpresU11,hvac.fact_raw.payload_json.raw.BfltHighpresU11
BfltHighpresU12,signal.parsed.v1.raw.BfltHighpresU12,hvac.fact_raw.payload_json.raw.BfltHighpresU12
BfltDiffpresU1,signal.parsed.v1.raw.BfltDiffpresU1,hvac.fact_raw.payload_json.raw.BfltDiffpresU1
BocfltEfU21,signal.parsed.v1.raw.BocfltEfU21,hvac.fact_raw.payload_json.raw.BocfltEfU21
BocfltEfU22,signal.parsed.v1.raw.BocfltEfU22,hvac.fact_raw.payload_json.raw.BocfltEfU22
BocfltCfU21,signal.parsed.v1.raw.BocfltCfU21,hvac.fact_raw.payload_json.raw.BocfltCfU21
BocfltCfU22,signal.parsed.v1.raw.BocfltCfU22,hvac.fact_raw.payload_json.raw.BocfltCfU22
BfltVfdU21,signal.parsed.v1.raw.BfltVfdU21,hvac.fact_raw.payload_json.raw.BfltVfdU21
BfltVfdComU21,signal.parsed.v1.raw.BfltVfdComU21,hvac.fact_raw.payload_json.raw.BfltVfdComU21
BfltVfdU22,signal.parsed.v1.raw.BfltVfdU22,hvac.fact_raw.payload_json.raw.BfltVfdU22
BfltVfdComU22,signal.parsed.v1.raw.BfltVfdComU22,hvac.fact_raw.payload_json.raw.BfltVfdComU22
BlpfltCompU21,signal.parsed.v1.raw.BlpfltCompU21,hvac.fact_raw.payload_json.raw.BlpfltCompU21
BscfltCompU21,signal.parsed.v1.raw.BscfltCompU21,hvac.fact_raw.payload_json.raw.BscfltCompU21
BscfltVentU21,signal.parsed.v1.raw.BscfltVentU21,hvac.fact_raw.payload_json.raw.BscfltVentU21
BlpfltCompU22,signal.parsed.v1.raw.BlpfltCompU22,hvac.fact_raw.payload_json.raw.BlpfltCompU22
BscfltCompU22,signal.parsed.v1.raw.BscfltCompU22,hvac.fact_raw.payload_json.raw.BscfltCompU22
BscfltVentU22,signal.parsed.v1.raw.BscfltVentU22,hvac.fact_raw.payload_json.raw.BscfltVentU22
BfltFadU21,signal.parsed.v1.raw.BfltFadU21,hvac.fact_raw.payload_json.raw.BfltFadU21
BfltFadU22,signal.parsed.v1.raw.BfltFadU22,hvac.fact_raw.payload_json.raw.BfltFadU22
IgRsv16,signal.parsed.v1.raw.IgRsv16,hvac.fact_raw.payload_json.raw.IgRsv16
IgRsv17,signal.parsed.v1.raw.IgRsv17,hvac.fact_raw.payload_json.raw.IgRsv17
BfltRadU21,signal.parsed.v1.raw.BfltRadU21,hvac.fact_raw.payload_json.raw.BfltRadU21
BfltRadU22,signal.parsed.v1.raw.BfltRadU22,hvac.fact_raw.payload_json.raw.BfltRadU22
IgRsv18,signal.parsed.v1.raw.IgRsv18,hvac.fact_raw.payload_json.raw.IgRsv18
IgRsv19,signal.parsed.v1.raw.IgRsv19,hvac.fact_raw.payload_json.raw.IgRsv19
BfltApU21,signal.parsed.v1.raw.BfltApU21,hvac.fact_raw.payload_json.raw.BfltApU21
IgRsv20,signal.parsed.v1.raw.IgRsv20,hvac.fact_raw.payload_json.raw.IgRsv20
BfltExpboardU2,signal.parsed.v1.raw.BfltExpboardU2,hvac.fact_raw.payload_json.raw.BfltExpboardU2
BfltFrstempU2,signal.parsed.v1.raw.BfltFrstempU2,hvac.fact_raw.payload_json.raw.BfltFrstempU2
BfltRnttempU2,signal.parsed.v1.raw.BfltRnttempU2,hvac.fact_raw.payload_json.raw.BfltRnttempU2
BfltSplytempU21,signal.parsed.v1.raw.BfltSplytempU21,hvac.fact_raw.payload_json.raw.BfltSplytempU21
BfltSplytempU22,signal.parsed.v1.raw.BfltSplytempU22,hvac.fact_raw.payload_json.raw.BfltSplytempU22
BfltCoiltempU21,signal.parsed.v1.raw.BfltCoiltempU21,hvac.fact_raw.payload_json.raw.BfltCoiltempU21
BfltCoiltempU22,signal.parsed.v1.raw.BfltCoiltempU22,hvac.fact_raw.payload_json.raw.BfltCoiltempU22
BfltInsptempU21,signal.parsed.v1.raw.BfltInsptempU21,hvac.fact_raw.payload_json.raw.BfltInsptempU21
BfltInsptempU22,signal.parsed.v1.raw.BfltInsptempU22,hvac.fact_raw.payload_json.raw.BfltInsptempU22
BfltLowpresU21,signal.parsed.v1.raw.BfltLowpresU21,hvac.fact_raw.payload_json.raw.BfltLowpresU21
BfltLowpresU22,signal.parsed.v1.raw.BfltLowpresU22,hvac.fact_raw.payload_json.raw.BfltLowpresU22
BfltHighpresU21,signal.parsed.v1.raw.BfltHighpresU21,hvac.fact_raw.payload_json.raw.BfltHighpresU21
BfltHighpresU22,signal.parsed.v1.raw.BfltHighpresU22,hvac.fact_raw.payload_json.raw.BfltHighpresU22
BfltDiffpresU2,signal.parsed.v1.raw.BfltDiffpresU2,hvac.fact_raw.payload_json.raw.BfltDiffpresU2
BfltEmergivt,signal.parsed.v1.raw.BfltEmergivt,hvac.fact_raw.payload_json.raw.BfltEmergivt
IgRsv240,signal.parsed.v1.raw.IgRsv240,hvac.fact_raw.payload_json.raw.IgRsv240
IgRsv241,signal.parsed.v1.raw.IgRsv241,hvac.fact_raw.payload_json.raw.IgRsv241
IgRsv242,signal.parsed.v1.raw.IgRsv242,hvac.fact_raw.payload_json.raw.IgRsv242
BfltVehtempU1,signal.parsed.v1.raw.BfltVehtempU1,hvac.fact_raw.payload_json.raw.BfltVehtempU1
IgRsv251,signal.parsed.v1.raw.IgRsv251,hvac.fact_raw.payload_json.raw.IgRsv251
BfltVehtempU2,signal.parsed.v1.raw.BfltVehtempU2,hvac.fact_raw.payload_json.raw.BfltVehtempU2
IgRsv252,signal.parsed.v1.raw.IgRsv252,hvac.fact_raw.payload_json.raw.IgRsv252
BfltAirmonU1,signal.parsed.v1.raw.BfltAirmonU1,hvac.fact_raw.payload_json.raw.BfltAirmonU1
BfltAirmonU2,signal.parsed.v1.raw.BfltAirmonU2,hvac.fact_raw.payload_json.raw.BfltAirmonU2
BfltCurrentmon,signal.parsed.v1.raw.BfltCurrentmon,hvac.fact_raw.payload_json.raw.BfltCurrentmon
BfltTcms,signal.parsed.v1.raw.BfltTcms,hvac.fact_raw.payload_json.raw.BfltTcms
IgRsv26,signal.parsed.v1.raw.IgRsv26,hvac.fact_raw.payload_json.raw.IgRsv26
IgRsv27,signal.parsed.v1.raw.IgRsv27,hvac.fact_raw.payload_json.raw.IgRsv27
IgRsv28,signal.parsed.v1.raw.IgRsv28,hvac.fact_raw.payload_json.raw.IgRsv28
BfltTempover,signal.parsed.v1.raw.BfltTempover,hvac.fact_raw.payload_json.raw.BfltTempover
BfltPowersupplyU1,signal.parsed.v1.raw.BfltPowersupplyU1,hvac.fact_raw.payload_json.raw.BfltPowersupplyU1
BfltPowersupplyU2,signal.parsed.v1.raw.BfltPowersupplyU2,hvac.fact_raw.payload_json.raw.BfltPowersupplyU2
BfltExhaustfan,signal.parsed.v1.raw.BfltExhaustfan,hvac.fact_raw.payload_json.raw.BfltExhaustfan
BfltExhaustval,signal.parsed.v1.raw.BfltExhaustval,hvac.fact_raw.payload_json.raw.BfltExhaustval
IgRsv29,signal.parsed.v1.raw.IgRsv29,hvac.fact_raw.payload_json.raw.IgRsv29
IgRsv30,signal.parsed.v1.raw.IgRsv30,hvac.fact_raw.payload_json.raw.IgRsv30
IgRsv31,signal.parsed.v1.raw.IgRsv31,hvac.fact_raw.payload_json.raw.IgRsv31
IgRsv32,signal.parsed.v1.raw.IgRsv32,hvac.fact_raw.payload_json.raw.IgRsv32
IgRsv33,signal.parsed.v1.raw.IgRsv33,hvac.fact_raw.payload_json.raw.IgRsv33
FasSys,signal.parsed.v1.raw.FasSys,hvac.fact_raw.payload_json.raw.FasSys
RasSys,signal.parsed.v1.raw.RasSys,hvac.fact_raw.payload_json.raw.RasSys
Tic,signal.parsed.v1.raw.Tic,hvac.fact_raw.payload_json.raw.Tic
Load,signal.parsed.v1.raw.Load,hvac.fact_raw.payload_json.raw.Load
Wrsv42,signal.parsed.v1.raw.Wrsv42,hvac.fact_raw.payload_json.raw.Wrsv42
Tveh1,signal.parsed.v1.raw.Tveh1,hvac.fact_raw.payload_json.raw.Tveh1
Humdity1,signal.parsed.v1.raw.Humdity1,hvac.fact_raw.payload_json.raw.Humdity1
Tveh2,signal.parsed.v1.raw.Tveh2,hvac.fact_raw.payload_json.raw.Tveh2
Humdity2,signal.parsed.v1.raw.Humdity2,hvac.fact_raw.payload_json.raw.Humdity2
AqTU1,signal.parsed.v1.raw.AqTU1,hvac.fact_raw.payload_json.raw.AqTU1
AqHU1,signal.parsed.v1.raw.AqHU1,hvac.fact_raw.payload_json.raw.AqHU1
AqCo2U1,signal.parsed.v1.raw.AqCo2U1,hvac.fact_raw.payload_json.raw.AqCo2U1
AqTvocU1,signal.parsed.v1.raw.AqTvocU1,hvac.fact_raw.payload_json.raw.AqTvocU1
AqFormaldU1,signal.parsed.v1.raw.AqFormaldU1,hvac.fact_raw.payload_json.raw.AqFormaldU1
AqPm25U1,signal.parsed.v1.raw.AqPm25U1,hvac.fact_raw.payload_json.raw.AqPm25U1
AqPm10U1,signal.parsed.v1.raw.AqPm10U1,hvac.fact_raw.payload_json.raw.AqPm10U1
AqRsvU1,signal.parsed.v1.raw.AqRsvU1,hvac.fact_raw.payload_json.raw.AqRsvU1
WmodeU1,signal.parsed.v1.raw.WmodeU1,hvac.fact_raw.payload_json.raw.WmodeU1
PresdiffU1,signal.parsed.v1.raw.PresdiffU1,hvac.fact_raw.payload_json.raw.PresdiffU1
FasU1,signal.parsed.v1.raw.FasU1,hvac.fact_raw.payload_json.raw.FasU1
RasU1,signal.parsed.v1.raw.RasU1,hvac.fact_raw.payload_json.raw.RasU1
FadposU1,signal.parsed.v1.raw.FadposU1,hvac.fact_raw.payload_json.raw.FadposU1
RadposU1,signal.parsed.v1.raw.RadposU1,hvac.fact_raw.payload_json.raw.RadposU1
FCpU11,signal.parsed.v1.raw.FCpU11,hvac.fact_raw.payload_json.raw.FCpU11
ICpU11,signal.parsed.v1.raw.ICpU11,hvac.fact_raw.payload_json.raw.ICpU11
VCpU11,signal.parsed.v1.raw.VCpU11,hvac.fact_raw.payload_json.raw.VCpU11
PCpU11,signal.parsed.v1.raw.PCpU11,hvac.fact_raw.payload_json.raw.PCpU11
SucktU11,signal.parsed.v1.raw.SucktU11,hvac.fact_raw.payload_json.raw.SucktU11
SuckpU11,signal.parsed.v1.raw.SuckpU11,hvac.fact_raw.payload_json.raw.SuckpU11
SpU11,signal.parsed.v1.raw.SpU11,hvac.fact_raw.payload_json.raw.SpU11
EevposU11,signal.parsed.v1.raw.EevposU11,hvac.fact_raw.payload_json.raw.EevposU11
HighpressU11,signal.parsed.v1.raw.HighpressU11,hvac.fact_raw.payload_json.raw.HighpressU11
SasU11,signal.parsed.v1.raw.SasU11,hvac.fact_raw.payload_json.raw.SasU11
IcesU11,signal.parsed.v1.raw.IcesU11,hvac.fact_raw.payload_json.raw.IcesU11
FCpU12,signal.parsed.v1.raw.FCpU12,hvac.fact_raw.payload_json.raw.FCpU12
ICpU12,signal.parsed.v1.raw.ICpU12,hvac.fact_raw.payload_json.raw.ICpU12
VCpU12,signal.parsed.v1.raw.VCpU12,hvac.fact_raw.payload_json.raw.VCpU12
PCpU12,signal.parsed.v1.raw.PCpU12,hvac.fact_raw.payload_json.raw.PCpU12
SucktU12,signal.parsed.v1.raw.SucktU12,hvac.fact_raw.payload_json.raw.SucktU12
SuckpU12,signal.parsed.v1.raw.SuckpU12,hvac.fact_raw.payload_json.raw.SuckpU12
SpU12,signal.parsed.v1.raw.SpU12,hvac.fact_raw.payload_json.raw.SpU12
EevposU12,signal.parsed.v1.raw.EevposU12,hvac.fact_raw.payload_json.raw.EevposU12
HighpressU12,signal.parsed.v1.raw.HighpressU12,hvac.fact_raw.payload_json.raw.HighpressU12
SasU12,signal.parsed.v1.raw.SasU12,hvac.fact_raw.payload_json.raw.SasU12
IcesU12,signal.parsed.v1.raw.IcesU12,hvac.fact_raw.payload_json.raw.IcesU12
Wrsv124,signal.parsed.v1.raw.Wrsv124,hvac.fact_raw.payload_json.raw.Wrsv124
AqTU2,signal.parsed.v1.raw.AqTU2,hvac.fact_raw.payload_json.raw.AqTU2
AqHU2,signal.parsed.v1.raw.AqHU2,hvac.fact_raw.payload_json.raw.AqHU2
AqCo2U2,signal.parsed.v1.raw.AqCo2U2,hvac.fact_raw.payload_json.raw.AqCo2U2
AqTvocU2,signal.parsed.v1.raw.AqTvocU2,hvac.fact_raw.payload_json.raw.AqTvocU2
AqFormaldU2,signal.parsed.v1.raw.AqFormaldU2,hvac.fact_raw.payload_json.raw.AqFormaldU2
AqPm25U2,signal.parsed.v1.raw.AqPm25U2,hvac.fact_raw.payload_json.raw.AqPm25U2
AqPm10U2,signal.parsed.v1.raw.AqPm10U2,hvac.fact_raw.payload_json.raw.AqPm10U2
AqRsvU2,signal.parsed.v1.raw.AqRsvU2,hvac.fact_raw.payload_json.raw.AqRsvU2
WmodeU2,signal.parsed.v1.raw.WmodeU2,hvac.fact_raw.payload_json.raw.WmodeU2
PresdiffU2,signal.parsed.v1.raw.PresdiffU2,hvac.fact_raw.payload_json.raw.PresdiffU2
FasU2,signal.parsed.v1.raw.FasU2,hvac.fact_raw.payload_json.raw.FasU2
RasU2,signal.parsed.v1.raw.RasU2,hvac.fact_raw.payload_json.raw.RasU2
FadposU2,signal.parsed.v1.raw.FadposU2,hvac.fact_raw.payload_json.raw.FadposU2
RadposU2,signal.parsed.v1.raw.RadposU2,hvac.fact_raw.payload_json.raw.RadposU2
FCpU21,signal.parsed.v1.raw.FCpU21,hvac.fact_raw.payload_json.raw.FCpU21
ICpU21,signal.parsed.v1.raw.ICpU21,hvac.fact_raw.payload_json.raw.ICpU21
VCpU21,signal.parsed.v1.raw.VCpU21,hvac.fact_raw.payload_json.raw.VCpU21
PCpU21,signal.parsed.v1.raw.PCpU21,hvac.fact_raw.payload_json.raw.PCpU21
SucktU21,signal.parsed.v1.raw.SucktU21,hvac.fact_raw.payload_json.raw.SucktU21
SuckpU21,signal.parsed.v1.raw.SuckpU21,hvac.fact_raw.payload_json.raw.SuckpU21
SpU21,signal.parsed.v1.raw.SpU21,hvac.fact_raw.payload_json.raw.SpU21
EevposU21,signal.parsed.v1.raw.EevposU21,hvac.fact_raw.payload_json.raw.EevposU21
HighpressU21,signal.parsed.v1.raw.HighpressU21,hvac.fact_raw.payload_json.raw.HighpressU21
SasU21,signal.parsed.v1.raw.SasU21,hvac.fact_raw.payload_json.raw.SasU21
IcesU21,signal.parsed.v1.raw.IcesU21,hvac.fact_raw.payload_json.raw.IcesU21
FCpU22,signal.parsed.v1.raw.FCpU22,hvac.fact_raw.payload_json.raw.FCpU22
ICpU22,signal.parsed.v1.raw.ICpU22,hvac.fact_raw.payload_json.raw.ICpU22
VCpU22,signal.parsed.v1.raw.VCpU22,hvac.fact_raw.payload_json.raw.VCpU22
PCpU22,signal.parsed.v1.raw.PCpU22,hvac.fact_raw.payload_json.raw.PCpU22
SucktU22,signal.parsed.v1.raw.SucktU22,hvac.fact_raw.payload_json.raw.SucktU22
SuckpU22,signal.parsed.v1.raw.SuckpU22,hvac.fact_raw.payload_json.raw.SuckpU22
SpU22,signal.parsed.v1.raw.SpU22,hvac.fact_raw.payload_json.raw.SpU22
